Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,23,23,20,Remote,SQLite,JavaScript;Ruby,Books / Physical media;Other online resources;Colleague,94013.48
High School,45-54 years old,Tech Lead,500-999 employees,Yes,EUR,8,10,3,Hybrid,MongoDB;Oracle;PostgreSQL,JavaScript;C++;Python,Online Courses or Certification;Colleague,64842.63
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,EUR,33,35,32,Hybrid,PostgreSQL;MySQL;SQLite,Kotlin;Go;Java,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,129378.12
High School,45-54 years old,Junior Developer,1-9 employees,No,EUR,25,27,25,Remote,PostgreSQL;MongoDB;MySQL,Swift;JavaScript,Books / Physical media,80448.1
Master's,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,USD,26,31,23,Remote,MongoDB;MySQL,JavaScript;Swift;Python,Other online resources,111960.12
PhD,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,INR,45,45,40,Hybrid,MongoDB;MySQL;SQLite,C#;Ruby,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,179079.04
PhD,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",No,EUR,8,13,8,Hybrid,MySQL;Oracle,JavaScript;Python;Java;Go,Online Courses or Certification;Colleague;Other online resources,51863.37
Master's,35-44 years old,Senior Developer,1-9 employees,No,GBP,41,42,37,Remote,Oracle;MySQL,C#;C++;Kotlin,Other online resources;Colleague;Online Courses or Certification,132038.71
PhD,18-24 years old,Junior Developer,"1,000 to 4,999 employees",Yes,INR,32,35,28,Remote,MongoDB;MySQL,Kotlin,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,118231.62
Master's,45-54 years old,Student,"10,000+ employees",No,EUR,11,13,11,Hybrid,MySQL;PostgreSQL,C#;Java;JavaScript;Go,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,67460.32
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,GBP,25,25,23,Remote,SQLite;PostgreSQL,Ruby;Go;Java;JavaScript,Books / Physical media;Other online resources,98450.15
High School,35-44 years old,Tech Lead,"1,000 to 4,999 employees",Yes,INR,39,42,37,Remote,MySQL,C++;C#;Ruby;JavaScript,Online Courses or Certification;Colleague,146142.14
PhD,25-34 years old,Student,100-499 employees,No,EUR,4,8,4,In-person,MySQL;PostgreSQL;Oracle,Go;Kotlin;Java,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,46268.53
High School,55+ years old,Student,"1,000 to 4,999 employees",Yes,GBP,39,40,39,Remote,PostgreSQL;MongoDB,JavaScript;Kotlin,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,123384.59
Bachelor's,35-44 years old,Student,100-499 employees,Yes,INR,22,22,17,Remote,MySQL;PostgreSQL,Ruby;Python;Go,Other online resources,80390.01
Bachelor's,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,USD,20,23,17,In-person,Oracle;SQLite,Java;Go;Ruby;C++,Books / Physical media,79390.99
PhD,45-54 years old,Tech Lead,500-999 employees,No,INR,42,44,38,Remote,Oracle,Python;JavaScript,Books / Physical media,156845.48
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,36,36,36,Remote,Oracle,Java;Kotlin;Go,Books / Physical media;Colleague,134243.18
Master's,55+ years old,Senior Developer,500-999 employees,No,INR,42,42,37,In-person,PostgreSQL;MongoDB;Oracle,Swift;C#;C++,Other online resources;Colleague;Books / Physical media,134968.44
PhD,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,EUR,44,46,44,Remote,SQLite,C++,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,176327.54
Bachelor's,18-24 years old,Tech Lead,100-499 employees,Yes,EUR,12,13,12,In-person,Oracle;MongoDB;PostgreSQL,Kotlin;C#,Online Courses or Certification,75520.21
Bachelor's,18-24 years old,Tech Lead,"5,000 to 9,999 employees",Yes,EUR,11,14,10,In-person,Oracle;MongoDB,Java;Go;Python;C#,Online Courses or Certification;Colleague;Other online resources,84053.19
PhD,35-44 years old,Senior Developer,100-499 employees,Yes,GBP,5,5,2,Remote,SQLite;PostgreSQL,Kotlin;Ruby;C++,Books / Physical media;Online Courses or Certification;Colleague,54595.37
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,USD,46,47,42,Hybrid,MySQL,Java;C++;Swift,Books / Physical media;Other online resources,155740.93
Bachelor's,55+ years old,Mid-level Developer,1-9 employees,No,INR,29,34,25,Remote,MySQL;PostgreSQL,Java,Colleague;Online Courses or Certification,94093.28
Bachelor's,35-44 years old,Junior Developer,1-9 employees,No,USD,28,31,24,Hybrid,PostgreSQL;Oracle,Kotlin,Books / Physical media;Online Courses or Certification,92886.38
PhD,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,25,30,24,Remote,Oracle;SQLite,Java,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,116779.29
Master's,45-54 years old,Student,500-999 employees,No,GBP,12,16,7,Remote,MongoDB;PostgreSQL,Swift;JavaScript;C++,Colleague,55666.77
High School,45-54 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,37,40,34,In-person,PostgreSQL;MongoDB,Kotlin,Books / Physical media;Other online resources,130267.35
Master's,35-44 years old,Student,"5,000 to 9,999 employees",Yes,INR,45,50,41,In-person,SQLite;Oracle;MongoDB,C#,Colleague;Online Courses or Certification,158515.03
PhD,55+ years old,Junior Developer,"5,000 to 9,999 employees",No,GBP,46,50,43,In-person,MongoDB;Oracle;SQLite,JavaScript;Python;Ruby,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,157977.18
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,GBP,25,25,24,In-person,MySQL;PostgreSQL,Ruby;C#;Java,Other online resources;Books / Physical media;Online Courses or Certification,116193.34
High School,55+ years old,Senior Developer,"1,000 to 4,999 employees",Yes,EUR,15,17,13,Hybrid,Oracle;MySQL;SQLite,Kotlin,Books / Physical media,58241.27
PhD,45-54 years old,Mid-level Developer,10-99 employees,No,INR,26,30,25,Hybrid,Oracle,Kotlin;Java,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,99606.73
Bachelor's,55+ years old,Student,1-9 employees,No,GBP,15,15,15,Hybrid,MongoDB;MySQL,Swift,Other online resources,60273.27
Bachelor's,45-54 years old,Mid-level Developer,"5,000 to 9,999 employees",No,GBP,19,23,14,Remote,PostgreSQL;SQLite;Oracle,C#,Online Courses or Certification,80317.6
Bachelor's,55+ years old,Senior Developer,10-99 employees,No,INR,48,49,47,In-person,MySQL,Ruby;C++,Online Courses or Certification;Books / Physical media;Colleague,140191.36
Bachelor's,35-44 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,INR,26,27,25,Hybrid,MySQL;SQLite,Java;Go;Python;Kotlin,Online Courses or Certification,104947.32
Bachelor's,25-34 years old,Tech Lead,"10,000+ employees",No,USD,3,5,2,Remote,MySQL;SQLite;PostgreSQL,Java,Online Courses or Certification,57642.45
Master's,55+ years old,Senior Developer,500-999 employees,No,USD,20,21,16,In-person,Oracle;MySQL,Swift,Books / Physical media,76965.03
High School,18-24 years old,Student,1-9 employees,Yes,INR,38,39,35,In-person,SQLite;Oracle,C++;Ruby;Go;Java,Other online resources;Books / Physical media;Online Courses or Certification,120969.29
High School,35-44 years old,Mid-level Developer,100-499 employees,No,EUR,17,22,12,In-person,MongoDB;MySQL;SQLite,C#;JavaScript;Kotlin,Other online resources;Books / Physical media;Online Courses or Certification;Colleague,59801.4
High School,55+ years old,Tech Lead,500-999 employees,No,USD,32,33,30,Remote,PostgreSQL;Oracle,Java;Go;C#,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,119260.41
Bachelor's,55+ years old,Student,100-499 employees,No,EUR,31,35,29,In-person,SQLite;MongoDB;Oracle,JavaScript;Kotlin;Swift,Colleague,95791.82
High School,55+ years old,Tech Lead,"10,000+ employees",No,EUR,20,21,17,Hybrid,MongoDB,Java,Online Courses or Certification,104107.17
PhD,35-44 years old,Mid-level Developer,500-999 employees,Yes,INR,44,46,42,Hybrid,MySQL,Java,Other online resources;Books / Physical media;Online Courses or Certification,154533.71
High School,18-24 years old,Senior Developer,100-499 employees,Yes,GBP,20,22,18,Remote,PostgreSQL;MongoDB;Oracle,Ruby;Go,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,78103.93
Bachelor's,18-24 years old,Mid-level Developer,1-9 employees,No,INR,33,33,30,In-person,MongoDB;Oracle,Java,Books / Physical media;Other online resources;Colleague;Online Courses or Certification,102371.26
Master's,25-34 years old,Junior Developer,500-999 employees,No,GBP,8,11,7,In-person,SQLite,Go;JavaScript,Online Courses or Certification;Books / Physical media;Colleague,49682.98
PhD,55+ years old,Senior Developer,500-999 employees,Yes,EUR,8,8,8,Remote,PostgreSQL;MySQL,C#,Colleague,55657.15
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,INR,49,49,47,In-person,PostgreSQL;SQLite,Swift;Kotlin,Colleague;Online Courses or Certification,180342.42
Master's,25-34 years old,Senior Developer,100-499 employees,No,GBP,30,33,25,In-person,MongoDB;SQLite,JavaScript,Online Courses or Certification;Colleague;Books / Physical media,106646.58
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,INR,45,50,40,Remote,SQLite;MongoDB,Swift,Books / Physical media;Online Courses or Certification;Colleague,165733.02
PhD,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,EUR,39,43,38,Hybrid,MongoDB,Swift;Java;JavaScript;Go,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,136587.57
PhD,55+ years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,24,24,21,Hybrid,Oracle,Python;Go;Kotlin;Java,Colleague,114896.93
Master's,45-54 years old,Senior Developer,10-99 employees,Yes,EUR,2,4,2,Hybrid,MySQL;MongoDB,Swift;JavaScript,Books / Physical media;Colleague;Other online resources,36976.82
Bachelor's,45-54 years old,Tech Lead,100-499 employees,No,GBP,47,50,42,In-person,Oracle;MongoDB;MySQL,Java;Go;C#,Online Courses or Certification;Colleague;Books / Physical media,161349.12
Bachelor's,18-24 years old,Tech Lead,"5,000 to 9,999 employees",Yes,EUR,13,15,12,Remote,PostgreSQL,Go;Python;Kotlin,Online Courses or Certification;Books / Physical media,84476.74
Bachelor's,45-54 years old,Tech Lead,500-999 employees,Yes,GBP,7,9,7,Hybrid,Oracle,Swift;C#;Ruby,Online Courses or Certification,59640.2
Bachelor's,25-34 years old,Senior Developer,10-99 employees,Yes,EUR,26,26,24,In-person,PostgreSQL;SQLite;Oracle,Python;Go,Other online resources,88667.92
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,GBP,47,50,45,Hybrid,PostgreSQL,JavaScript,Other online resources,164778.64
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,GBP,21,24,17,In-person,PostgreSQL;SQLite;MongoDB,Java;Ruby;C++,Colleague;Books / Physical media,109560.78
PhD,18-24 years old,Senior Developer,500-999 employees,No,GBP,13,14,12,Remote,MySQL;Oracle,Kotlin;C++;Go,Books / Physical media;Colleague,65613.9
High School,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,8,9,6,In-person,Oracle,Go;Java;C++;Swift,Online Courses or Certification;Books / Physical media;Colleague,42675.05
Bachelor's,18-24 years old,Mid-level Developer,500-999 employees,No,EUR,48,50,48,Remote,SQLite;MongoDB;PostgreSQL,Go;Ruby,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,142294.13
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,GBP,26,28,26,Remote,MySQL;SQLite;PostgreSQL,Ruby,Colleague;Online Courses or Certification;Other online resources,112316.02
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,USD,38,39,38,Hybrid,MongoDB,Go,Books / Physical media;Other online resources;Colleague,164190.63
High School,45-54 years old,Senior Developer,"10,000+ employees",Yes,GBP,25,28,22,Hybrid,SQLite,Java;Ruby;Python;Kotlin,Books / Physical media;Online Courses or Certification;Colleague,99575.03
Master's,25-34 years old,Tech Lead,"10,000+ employees",No,USD,39,43,39,Hybrid,MongoDB,Swift;C#,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,155950.61
PhD,25-34 years old,Senior Developer,1-9 employees,No,GBP,23,24,22,In-person,MongoDB;MySQL,Go;JavaScript,Online Courses or Certification,90000.53
PhD,55+ years old,Junior Developer,"10,000+ employees",No,USD,22,25,20,Remote,MySQL,C#;Python,Books / Physical media;Colleague;Online Courses or Certification,97289.2
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,INR,31,36,28,Remote,SQLite,Swift,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,131227.79
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,GBP,15,17,11,Hybrid,Oracle;SQLite,C++;C#;Python,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,76590.96
High School,25-34 years old,Senior Developer,"10,000+ employees",Yes,GBP,10,12,7,Hybrid,PostgreSQL;MySQL;MongoDB,C#;Swift;Ruby;Java,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,57842.78
Master's,45-54 years old,Mid-level Developer,100-499 employees,No,INR,48,50,46,Remote,MongoDB;PostgreSQL;Oracle,C++;Python;C#,Books / Physical media,146696.74
High School,18-24 years old,Junior Developer,"10,000+ employees",Yes,GBP,31,32,28,In-person,PostgreSQL,Swift;Go;C#;C++,Colleague;Books / Physical media;Online Courses or Certification,112904.43
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,INR,4,5,0,Hybrid,MySQL;MongoDB,Kotlin;Swift;C#;Python,Colleague,60679.28
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,USD,11,12,7,In-person,Oracle,Ruby,Books / Physical media;Online Courses or Certification;Colleague,89830.51
Master's,45-54 years old,Student,"10,000+ employees",No,GBP,14,17,9,Remote,Oracle;MongoDB,Kotlin;Go;C#,Other online resources;Colleague,76248.27
Master's,25-34 years old,Tech Lead,500-999 employees,No,EUR,29,34,28,Hybrid,Oracle;MySQL,Kotlin;Swift;C++,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,120882.68
Master's,18-24 years old,Student,10-99 employees,Yes,INR,48,50,47,Remote,MongoDB,C#,Books / Physical media;Other online resources,156342.36
High School,55+ years old,Tech Lead,"10,000+ employees",No,GBP,50,50,46,In-person,SQLite;Oracle,C#;Ruby;JavaScript;C++,Other online resources;Online Courses or Certification;Colleague,175572.55
Bachelor's,18-24 years old,Tech Lead,"1,000 to 4,999 employees",Yes,INR,13,15,10,In-person,MongoDB,Swift;C++,Online Courses or Certification;Other online resources;Colleague,81099.61
Master's,18-24 years old,Senior Developer,100-499 employees,Yes,INR,43,45,42,In-person,MySQL,C++,Online Courses or Certification;Colleague;Books / Physical media,144168.8
Bachelor's,18-24 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,EUR,24,25,22,Hybrid,PostgreSQL;MongoDB,Python;JavaScript;Go;Ruby,Online Courses or Certification;Colleague;Books / Physical media,99609.85
Master's,55+ years old,Junior Developer,100-499 employees,No,GBP,46,46,44,Remote,MySQL;SQLite,C++,Books / Physical media;Colleague,149724.19
High School,18-24 years old,Tech Lead,"5,000 to 9,999 employees",No,INR,32,34,30,Hybrid,MongoDB;SQLite,Go;Python;Java;Swift,Other online resources;Books / Physical media;Online Courses or Certification,129106.54
High School,35-44 years old,Junior Developer,10-99 employees,Yes,GBP,33,36,33,Remote,PostgreSQL;MongoDB;SQLite,Python;JavaScript;Go,Online Courses or Certification,112158.67
Bachelor's,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,50,50,45,In-person,MongoDB;PostgreSQL;SQLite,JavaScript;C++;Go;Kotlin,Online Courses or Certification;Other online resources,142865.02
Bachelor's,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,EUR,6,8,4,Remote,Oracle;SQLite,Java;JavaScript;C++,Other online resources;Online Courses or Certification;Books / Physical media,37331.78
Master's,55+ years old,Student,"10,000+ employees",Yes,EUR,22,24,22,In-person,MySQL;SQLite,C#;JavaScript,Books / Physical media,99916.59
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,INR,37,41,33,Hybrid,PostgreSQL;MongoDB,JavaScript,Books / Physical media;Colleague;Online Courses or Certification,142351.83
PhD,55+ years old,Mid-level Developer,"10,000+ employees",No,INR,42,45,39,Remote,SQLite;MongoDB;Oracle,JavaScript,Online Courses or Certification;Other online resources;Books / Physical media,152946.44
PhD,18-24 years old,Mid-level Developer,"10,000+ employees",No,INR,9,10,8,In-person,SQLite,JavaScript;Ruby,Books / Physical media;Other online resources;Online Courses or Certification,71243.24
High School,25-34 years old,Senior Developer,"1,000 to 4,999 employees",Yes,GBP,17,18,16,In-person,MySQL,JavaScript;Swift;Ruby;Python,Colleague;Books / Physical media,64045.68
High School,35-44 years old,Tech Lead,"5,000 to 9,999 employees",Yes,GBP,24,27,24,Remote,SQLite;Oracle,JavaScript,Other online resources,119710.73
Bachelor's,18-24 years old,Tech Lead,"1,000 to 4,999 employees",Yes,GBP,4,8,1,In-person,SQLite;PostgreSQL;MySQL,Python;JavaScript;C#;Kotlin,Other online resources;Colleague,52098.26
